Name,Affiliation,Homepage,Email_Domain,Scholar_ID,Interests,Citedby,Citedby5y,hindex,hindex5y,i10index,i10index5y
Eugene Agichtein,"Professor of Computer Science, Emory University",http://www.cs.emory.edu/~eugene/,@emory.edu,3BX3vWcAAAAJ,"Information Retrieval, Web Search, Conversational AI, Natural Language Processing",15713,3683,52,30,114,62
Dorian Arnold,Emory University,http://www.cs.emory.edu/~darnold/,@emory.edu,2jEFz5EAAAAJ,"High Performance Computing, Distributed Systems, Fault-Tolerance, Middleware, HPC Tools",2415,430,26,11,42,12
Yana Bromberg,"Emory University, Departments of Biology and Computer Science",http://bromberglab.org/,@emory.edu,aL6XtIUAAAAJ,"Bioinformatics, Protein Structure and Function, Genome Variation Analysis, Personalized Medicine, Metagenomics",6629,3537,37,29,68,54
Jinho D. Choi,"Associate Professor, Emory University",https://www.emorynlp.org/faculty/jinho-choi,@emory.edu,xdddblAAAAAJ,"Natural Language Processing, Computational Linguistics, Conversational AI",4281,2632,36,28,65,50
Nosayba El-Sayed,Emory University,http://www.cs.emory.edu/~nelsay2,@mit.edu,AIf9mB4AAAAJ,"Datacenter Management, Data Analytics, Systems Reliability, High-Performance Computing, Applied Machine Learning",966,524,12,11,12,11
Davide Fossati,"Computer Science, Emory University",http://www.fossati.us/,@fossati.us,EQ61oMAAAAAJ,"Technology Enhanced Learning, Computer Science Education, Educational Data Mining",823,324,18,10,28,11
Zhichun Guo,"Incoming Assistant Professor@Emory; Postdoc@IPD, UW; CS Ph.D.@ND",https://zhichunguo.github.io/,@uw.edu,BOFfWR0AAAAJ,"Machine Learning, Artificial Intelligence, AI4Science",1161,1155,17,17,21,20
Joyce C Ho,Emory University,http://joyceho.github.io/,@emory.edu,DrUBb5sAAAAJ,"Data Mining, Machine Learning, Healthcare Informatics",2757,1815,25,24,52,45
Wei Jin,"Assistant Professor, Emory University",http://www.cs.emory.edu/~wjin30/,@emory.edu,eWow24EAAAAJ,"Graph Neural Networks, Machine Learning, AI for Science, Computational Epidemiology",4957,4946,30,30,42,42
Joon-Seok Kim,Emory University,https://www.joonseok.org/,@emory.edu,cAE-vgwAAAAJ,"Prescriptive Analytics, Spatio-temporal Databases, Data Mining, GIS, Agent Based Modeling",763,565,16,15,27,21
Fei Liu,Emory University,https://www.cs.emory.edu/~fliu40,@emory.edu,22ohn6AAAAAJ,"Natural Language Generation, LLM Inference, Reasoning, Deep Learning, Generative AI",5533,3781,40,32,67,62
Yolanda Rankin,"Department of Computer Science, Emory University",,@emory.edu,RxcQjoYAAAAJ,"HCI, CS education, gaming",2181,1465,22,19,34,24
Kai Shu,"Assistant Professor of Computer Science, Emory University",https://www.cs.emory.edu/~kshu5/,@emory.edu,-6bAV2cAAAAJ,"Data Mining, Trustworthy AI, Social Computing, Machine Learning, AI Safety",16024,14771,45,45,90,90
Shengpu Tang,"Assistant Professor of Computer Science, Emory University",https://shengpu-tang.me/,@emory.edu,a_z5a5wAAAAJ,"Artificial Intelligence, Machine learning, Reinforcement learning, Healthcare",579,579,10,10,10,10
Emily Wall,Emory University,http://emilywall.github.io/,@emory.edu,YfcphqMAAAAJ,"visual analytics, information visualization, cognitive bias, decision making",864,735,13,13,15,14
Kristin Williams,Emory University,https://www.cs.emory.edu/~kwil271,@emory.edu,yGtJEDsAAAAJ,Human-Computer Interaction,429,380,11,11,11,11
Li Xiong,"Samuel Dobbs Professor, Computer Science, Biomedical Informatics, Emory University",http://www.cs.emory.edu/~lxiong,@emory.edu,jJ8BLgsAAAAJ,"Machine learning, privacy enhancing technology, AI for health, mobility data",20838,13034,56,42,163,123
Carl J. Yang,Assistant Professor of Computer Science at Emory University,https://cs.emory.edu/~jyang71/,@emory.edu,mOINlwcAAAAJ,"graph data mining, applied machine learning, knowledge graphs, federated learning",5858,5564,40,37,102,100
Liang Zhao,Emory University,http://mason.gmu.edu/~lzhao9/,@emory.edu,qnvyqtwAAAAJ,"data mining, machine learning, spatial data mining, graph neural networks, generative AI",7637,6617,41,38,139,132
Andreas ZÃ¼fle,Associate Professor at Emory University,http://www.zuefle.org/,@emory.edu,s-FDyf4AAAAJ,"Spatial Databases, Data Mining, Geosimulation, Spatial Computing",2782,1309,25,18,74,46
